Category,Aantal per 100.000 inwoners,Aantal
's-Hertogenbosch,43.20,67.00
Aa en Hunze,3.90,1.00
Aalsmeer,15.70,5.00
Aalten,3.70,1.00
Achtkarspelen,0.00,0.00
Alblasserdam,9.90,2.00
Albrandswaard,15.60,4.00
Alkmaar,17.40,19.00
Almelo,10.90,8.00
Almere,21.70,46.00
Alphen aan den Rijn,25.90,29.00
Alphen-Chaam,88.10,9.00
Altena,30.40,17.00
Ameland,0.00,0.00
Amersfoort,15.30,24.00
Amstelveen,30.50,28.00
Amsterdam,28.00,244.00
Apeldoorn,11.60,19.00
Appingedam,8.60,1.00
Arnhem,17.40,28.00
Assen,7.30,5.00
Asten,23.90,4.00
Baarle-Nassau,14.60,1.00
Baarn,8.00,2.00
Barendrecht,32.80,16.00
Barneveld,8.50,5.00
Beek,0.00,0.00
Beekdaelen,33.40,12.00
Beemster,20.00,2.00
Beesel,74.20,10.00
Berg en Dal,42.90,15.00
Bergeijk,26.80,5.00
Bergen (L.),22.90,3.00
Bergen (NH.),26.80,8.00
Bergen op Zoom,16.30,11.00
Berkelland,2.30,1.00
Bernheze,182.40,57.00
Best,60.00,18.00
Beuningen,46.30,12.00
Beverwijk,12.00,5.00
Bladel,34.30,7.00
Blaricum,8.70,1.00
Bloemendaal,12.70,3.00
Bodegraven-Reeuwijk,5.70,2.00
Boekel,194.70,21.00
Borger-Odoorn,3.90,1.00
Borne,42.90,10.00
Borsele,13.20,3.00
Boxmeer,27.20,8.00
Boxtel,29.20,9.00
Breda,61.30,113.00
Brielle,28.90,5.00
Bronckhorst,2.80,1.00
Brummen,14.50,3.00
Brunssum,32.40,9.00
Bunnik,26.30,4.00
Bunschoten,4.60,1.00
Buren,18.70,5.00
Capelle aan den IJssel,29.80,20.00
Castricum,22.20,8.00
Coevorden,14.20,5.00
Cranendonck,132.30,28.00
Cuijk,19.90,5.00
Culemborg,44.90,13.00
Dalfsen,24.50,7.00
Dantumadiel,0.00,0.00
De Bilt,25.50,11.00
De Fryske Marren,21.30,11.00
De Ronde Venen,24.70,11.00
De Wolden,8.20,2.00
Delft,18.30,19.00
Delfzijl,16.20,4.00
Den Helder,10.70,6.00
Deurne,104.70,34.00
Deventer,20.90,21.00
Diemen,13.00,4.00
Dinkelland,41.60,11.00
Doesburg,27.10,3.00
Doetinchem,8.60,5.00
Dongen,26.70,7.00
Dordrecht,21.80,26.00
Drechterland,5.10,1.00
Drimmelen,51.30,14.00
Dronten,19.20,8.00
Druten,63.40,12.00
Duiven,15.90,4.00
Echt-Susteren,63.30,20.00
Edam-Volendam,27.60,10.00
Ede,20.50,24.00
Eemnes,10.80,1.00
Eersel,57.00,11.00
Eijsden-Margraten,23.30,6.00
Eindhoven,19.60,46.00
Elburg,8.60,2.00
Emmen,5.60,6.00
Enkhuizen,69.90,13.00
Enschede,15.00,24.00
Epe,21.10,7.00
Ermelo,29.60,8.00
Etten-Leur,47.90,21.00
Geertruidenberg,32.50,7.00
Geldrop-Mierlo,22.70,9.00
Gemert-Bakel,156.20,48.00
Gennep,53.20,9.00
Gilze en Rijen,49.20,13.00
Goeree-Overflakkee,48.00,24.00
Goes,13.10,5.00
Goirle,66.90,16.00
Gooise Meren,17.20,10.00
Gorinchem,24.30,9.00
Gouda,17.70,13.00
Grave,80.40,10.00
Groningen,3.90,9.00
Gulpen-Wittem,14.10,2.00
Haaksbergen,16.50,4.00
Haaren,97.40,14.00
Haarlem,16.00,26.00
Haarlemmermeer,19.90,31.00
Halderberge,29.70,9.00
Hardenberg,14.80,9.00
Harderwijk,16.50,8.00
Hardinxveld-Giessendam,5.50,1.00
Harlingen,6.40,1.00
Hattem,24.60,3.00
Heemskerk,35.70,14.00
Heemstede,14.70,4.00
Heerde,91.50,17.00
Heerenveen,9.90,5.00
Heerhugowaard,29.50,17.00
Heerlen,27.60,24.00
Heeze-Leende,31.00,5.00
Heiloo,20.90,5.00
Hellendoorn,8.40,3.00
Hellevoetsluis,10.00,4.00
Helmond,37.90,35.00
Hendrik-Ido-Ambacht,9.60,3.00
Hengelo,7.40,6.00
Het Hogeland,8.40,4.00
Heumen,42.60,7.00
Heusden,49.20,22.00
Hillegom,13.50,3.00
Hilvarenbeek,25.80,4.00
Hilversum,14.30,13.00
Hoeksche Waard,33.20,29.00
Hof van Twente,22.80,8.00
Hollands Kroon,35.10,17.00
Hoogeveen,7.20,4.00
Hoorn,17.80,13.00
Horst aan de Maas,49.50,21.00
Houten,17.90,9.00
Huizen,21.80,9.00
Hulst,14.50,4.00
IJsselstein,52.80,18.00
Kaag en Braassem,14.70,4.00
Kampen,62.60,34.00
Kapelle,7.90,1.00
Katwijk,12.20,8.00
Kerkrade,21.90,10.00
Koggenland,17.60,4.00
Krimpen aan den IJssel,6.80,2.00
Krimpenerwaard,39.10,22.00
Laarbeek,79.90,18.00
Landerd,127.10,20.00
Landgraaf,18.70,7.00
Landsmeer,26.10,3.00
Langedijk,21.30,6.00
Lansingerland,24.00,15.00
Laren,44.30,5.00
Leeuwarden,12.90,16.00
Leiden,12.80,16.00
Leiderdorp,18.50,5.00
Leidschendam-Voorburg,9.10,7.00
Lelystad,30.50,24.00
Leudal,89.10,32.00
Leusden,16.40,5.00
Lingewaard,30.00,14.00
Lisse,13.10,3.00
Lochem,5.90,2.00
Loon op Zand,64.10,15.00
Lopik,76.00,11.00
Loppersum,0.00,0.00
Losser,8.80,2.00
Maasdriel,36.00,9.00
Maasgouw,41.70,10.00
Maassluis,24.10,8.00
Maastricht,20.60,25.00
Medemblik,20.00,9.00
Meerssen,15.90,3.00
Meierijstad,135.50,110.00
Meppel,8.80,3.00
Middelburg,20.50,10.00
Midden-Delfland,5.20,1.00
Midden-Drenthe,12.10,4.00
Midden-Groningen,6.60,4.00
Mill en Sint Hubert,54.80,6.00
Moerdijk,13.50,5.00
Molenlanden,20.50,9.00
Montferland,8.30,3.00
Montfoort,64.70,9.00
Mook en Middelaar,38.20,3.00
Neder-Betuwe,90.40,22.00
Nederweert,129.20,22.00
Nieuwegein,23.60,15.00
Nieuwkoop,13.90,4.00
Nijkerk,23.20,10.00
Nijmegen,40.50,72.00
Nissewaard,22.30,19.00
Noardeast-Fryslân,8.80,4.00
Noord-Beveland,0.00,0.00
Noordenveld,3.20,1.00
Noordoostpolder,12.70,6.00
Noordwijk,18.40,8.00
"Nuenen, Gerwen en Nederwetten",29.90,7.00
Nunspeet,53.90,15.00
Oegstgeest,12.10,3.00
Oirschot,32.00,6.00
Oisterwijk,34.30,9.00
Oldambt,2.60,1.00
Oldebroek,25.40,6.00
Oldenzaal,25.10,8.00
Olst-Wijhe,27.40,5.00
Ommen,22.20,4.00
Oost Gelre,6.80,2.00
Oosterhout,41.10,23.00
Ooststellingwerf,3.90,1.00
Oostzaan,20.50,2.00
Opmeer,8.40,1.00
Opsterland,13.40,4.00
Oss,79.40,73.00
Oude IJsselstreek,5.10,2.00
Ouder-Amstel,21.40,3.00
Oudewater,146.70,15.00
Overbetuwe,66.80,32.00
Papendrecht,0.00,0.00
Peel en Maas,237.20,103.00
Pekela,24.60,3.00
Pijnacker-Nootdorp,16.30,9.00
Purmerend,43.10,35.00
Putten,4.10,1.00
Raalte,37.10,14.00
Reimerswaal,17.60,4.00
Renkum,31.80,10.00
Renswoude,18.40,1.00
Reusel-De Mierden,7.60,1.00
Rheden,45.70,20.00
Rhenen,9.90,2.00
Ridderkerk,39.00,18.00
Rijssen-Holten,21.00,8.00
Rijswijk,22.00,12.00
Roerdalen,63.20,13.00
Roermond,42.90,25.00
Roosendaal,14.20,11.00
Rotterdam,18.40,120.00
Rozendaal,58.70,1.00
Rucphen,13.10,3.00
s-Gravenhage,14.90,81.00
Schagen,21.50,10.00
Scherpenzeel,0.00,0.00
Schiedam,24.10,19.00
Schiermonnikoog,0.00,0.00
Schouwen-Duiveland,17.70,6.00
Simpelveld,19.00,2.00
Sint Anthonis,119.90,14.00
Sint-Michielsgestel,47.90,14.00
Sittard-Geleen,26.00,24.00
Sliedrecht,4.00,1.00
Sluis,17.20,4.00
Smallingerland,8.90,5.00
Soest,19.30,9.00
Someren,41.30,8.00
Son en Breugel,86.60,15.00
Stadskanaal,0.00,0.00
Staphorst,5.80,1.00
Stede Broec,46.00,10.00
Steenbergen,28.60,7.00
Steenwijkerland,13.60,6.00
Stein,44.00,11.00
Stichtse Vecht,24.60,16.00
Súdwest-Fryslân,13.30,12.00
Terneuzen,20.20,11.00
Terschelling,0.00,0.00
Texel,7.40,1.00
Teylingen,16.00,6.00
Tholen,77.60,20.00
Tiel,49.80,21.00
Tilburg,52.30,115.00
Tubbergen,32.90,7.00
Twenterand,14.80,5.00
Tynaarlo,14.80,5.00
Tytsjerksteradiel,3.10,1.00
Uden,159.10,67.00
Uitgeest,22.00,3.00
Uithoorn,30.50,9.00
Urk,52.30,11.00
Utrecht,21.00,75.00
